city,state,lat,lon
AARONSBURG,PA,40.9106,-77.407
ABBEVILLE,AL,31.5935,-85.2281
ABBEVILLE,GA,31.9743,-83.3054
ABBEVILLE,LA,29.8873,-92.1603
ABBEVILLE,MS,34.4671,-89.5261
ABBEVILLE,SC,34.1846,-82.4333
ABBOT,ME,45.2862,-69.5528
ABBOTSFORD,WI,44.9743,-90.2975
ABBOTT,TX,31.885,-97.0936
ABBOTTSTOWN,PA,39.8945,-76.9733
ABBYVILLE,KS,38.0064,-98.2063
ABELL,MD,38.2507,-76.7486
ABERCROMBIE,ND,46.4516,-96.7309
ABERDEEN,ID,43.0565,-112.8163
ABERDEEN,KY,37.2538,-86.6814
ABERDEEN,MD,39.4983,-76.1989
ABERDEEN,MS,33.8512,-88.5365
ABERDEEN,NC,35.1233,-79.4603
ABERDEEN,OH,38.6965,-83.7522
ABERDEEN,SD,45.4661,-98.5069
ABERDEEN,WA,47.0918,-123.8526
ABERDEEN PROVING GROUND,MD,39.4367,-76.1574
ABERNANT,AL,33.2906,-87.1981
ABERNATHY,TX,33.9182,-101.909
ABIE,NE,41.3216,-96.9658
ABILENE,KS,38.9217,-97.2137
ABILENE,TX,32.4379,-99.753
ABINGDON,IL,40.7981,-90.4145
ABINGDON,MD,39.4734,-76.287
ABINGDON,VA,36.7149,-82.0086
ABINGTON,CT,41.8608,-72.0072
ABINGTON,MA,42.1194,-70.9594
ABINGTON,PA,40.1236,-75.1262
ABIQUIU,NM,36.1459,-106.237
ABITA SPRINGS,LA,30.5009,-89.9566
ABRAMS,WI,44.7861,-88.0664
ABSARAKA,ND,47.0213,-97.3881
ABSAROKEE,MT,45.5253,-109.6007
ABSECON,NJ,39.4519,-74.4784
ACAMPO,CA,38.194,-121.1989
ACCIDENT,MD,39.639,-79.3017
ACCOKEEK,MD,38.6603,-77.001
ACCOMAC,VA,37.6704,-75.657
ACCORD,MA,42.1747,-70.8845
ACCORD,NY,41.8245,-74.2455
ACCOVILLE,WV,37.7662,-81.7859
ACE,TX,30.5077,-94.818
ACHILLE,OK,33.8387,-96.3645
ACHILLES,VA,37.2923,-76.4099
ACKERLY,TX,32.64,-101.819
ACKERMAN,MS,33.3633,-89.2356
ACKERMANVILLE,PA,40.84,-75.17
ACKLEY,IA,42.5656,-93.0671
ACKWORTH,IA,41.353,-93.4311
ACME,LA,31.2596,-91.7555
ACME,MI,44.7717,-85.5015
ACME,PA,40.115,-79.4455
ACME,WA,48.6827,-122.1944
ACOSTA,PA,40.1203,-79.0634
ACRA,NY,42.3251,-74.1033
ACTON,CA,34.4679,-118.1824
ACTON,MA,42.4842,-71.4395
ACTON,ME,43.5257,-70.9164
ACTON,MT,45.9073,-108.6531
ACUSHNET,MA,41.7138,-70.8994
ACWORTH,GA,34.0704,-84.6703
ACWORTH,NH,43.2354,-72.2959
ADA,MI,42.9569,-85.4863
ADA,MN,47.3537,-96.5258
ADA,OH,40.7751,-83.8164
ADA,OK,34.7985,-96.7156
ADAH,PA,39.9155,-79.9044
ADAIR,IA,41.5173,-94.6556
ADAIR,IL,40.3947,-90.5051
ADAIR,OK,36.4086,-95.2742
ADAIRSVILLE,GA,34.3691,-84.9301
ADAIRVILLE,KY,36.6957,-86.8776
ADAK,AK,51.8549,-177.0888
ADAMANT,VT,44.3517,-72.4982
ADAMS,KY,38.029,-82.7486
ADAMS,MA,42.6271,-73.1187
ADAMS,MN,43.5652,-92.7385
ADAMS,ND,48.4125,-98.1098
ADAMS,NE,40.494,-96.5462
ADAMS,NY,43.8075,-76.0411
ADAMS,OK,36.7401,-101.0531
ADAMS,OR,45.7511,-118.5264
ADAMS,TN,36.5608,-87.1037
ADAMS,WI,43.8903,-89.839
ADAMS BASIN,NY,43.1924,-77.8592
ADAMS CENTER,NY,43.8627,-76.007
ADAMS RUN,SC,32.803,-80.3637
ADAMSBURG,PA,40.2953,-79.6554
ADAMSTOWN,MD,39.292,-77.4432
ADAMSTOWN,PA,40.2439,-76.0604
ADAMSVILLE,AL,33.5929,-86.994
ADAMSVILLE,OH,40.0745,-81.8458
ADAMSVILLE,PA,41.4945,-80.3823
ADAMSVILLE,RI,41.5544,-71.1314
ADAMSVILLE,TN,35.2612,-88.392
ADDIEVILLE,IL,38.3817,-89.5908
ADDINGTON,OK,34.2457,-97.8922
ADDIS,LA,30.3498,-91.2338
ADDISON,AL,34.2027,-87.2048
ADDISON,IL,41.9309,-88.014
ADDISON,ME,44.5704,-67.6987
ADDISON,MI,41.9924,-84.3387
ADDISON,NY,42.1094,-77.3034
ADDISON,PA,39.7649,-79.3546
ADDISON,TX,32.9598,-96.8385
ADDY,WA,48.3487,-117.9393
ADDYSTON,OH,39.1374,-84.7112
ADEL,GA,31.1192,-83.4283
ADEL,IA,41.6237,-94.0425
ADEL,OR,42.2491,-119.8074
ADELANTO,CA,34.6657,-117.5013
ADELL,WI,43.6054,-88.0508
ADELPHI,OH,39.4643,-82.7456
ADELPHIA,NJ,40.2183,-74.2569
ADENA,OH,40.2244,-80.8564
ADGER,AL,33.4462,-87.223
ADIN,CA,41.1539,-120.8977
ADIRONDACK,NY,43.7431,-73.7433
ADJUNTAS,PR,18.1967,-66.7367
ADKINS,TX,29.3406,-98.2295
ADMIRE,KS,38.6159,-96.1037
ADNA,WA,46.6293,-123.06
ADOLPH,MN,46.84,-92.22
ADOLPHUS,KY,36.6835,-86.255
ADONA,AR,35.0688,-92.9056
ADRIAN,GA,32.5716,-82.5852
ADRIAN,MI,41.8935,-84.0613
ADRIAN,MN,43.6089,-95.9342
ADRIAN,MO,38.4335,-94.3988
ADRIAN,OR,43.4643,-117.2651
ADRIAN,PA,40.9006,-79.5181
ADRIAN,TX,35.4036,-102.8004
ADRIAN,WV,38.9207,-80.2954
ADVANCE,IN,39.9966,-86.6188
ADVANCE,MO,37.0584,-89.9111
ADVANCE,NC,35.9446,-80.4376
ADVENT,WV,38.6273,-81.5695
AFTON,IA,41.0453,-94.1902
AFTON,MI,45.3224,-84.4655
AFTON,MN,44.9106,-92.8131
AFTON,NY,42.2209,-75.5296
AFTON,OK,36.6318,-94.9101
AFTON,TN,36.2253,-82.7399
AFTON,TX,33.7773,-100.7281
AFTON,VA,37.975,-78.8244
AFTON,WI,42.6022,-89.0694
AFTON,WY,42.7022,-110.9038
AGANA HEIGHTS,GU,13.4686,144.7436
AGAR,SD,44.8464,-100.2005
AGAT,GU,13.3815,144.6544
AGATE,CO,39.3797,-103.9655
AGATE,ND,48.6317,-99.6674
AGAWAM,MA,42.0658,-72.6209
AGENCY,IA,40.9916,-92.3016
AGENCY,MO,39.6587,-94.704
AGENDA,KS,39.7019,-97.4248
AGES BROOKSIDE,KY,36.8417,-83.2408
AGNESS,OR,42.6126,-124.009
AGOURA HILLS,CA,34.1334,-118.7666
AGRA,KS,39.872,-99.1414
AGRA,OK,35.8698,-96.8839
AGUA DULCE,TX,27.781,-97.8551
AGUADA,PR,18.3529,-67.1775
AGUADILLA,PR,18.4588,-67.1438
AGUANGA,CA,33.5088,-116.8143
AGUAS BUENAS,PR,18.2626,-66.1296
AGUILA,AZ,33.809,-113.1876
AGUILAR,CO,37.3752,-104.7444
AGUIRRE,PR,17.9802,-66.2189
AH GWAH CHING,MN,47.06,-94.5
AHMEEK,MI,47.3045,-88.3975
AHOSKIE,NC,36.2968,-77.0183
AHSAHKA,ID,46.5173,-116.3348
AHWAHNEE,CA,37.3723,-119.736
AIBONITO,PR,18.1354,-66.2605
AIEA,HI,21.3963,-157.8964
AIKEN,SC,33.5119,-81.6747
AIKEN,TX,34.1418,-101.5269
AILEY,GA,32.1699,-82.5117
AIMWELL,LA,31.7602,-91.9879
AINSWORTH,IA,41.3372,-91.5514
AINSWORTH,NE,42.4291,-99.8183
AIRVILLE,PA,39.8187,-76.4246
AIRWAY HEIGHTS,WA,47.6355,-117.5825
AITKIN,MN,46.4555,-93.6414
AJO,AZ,32.3422,-112.7541
AKASKA,SD,45.319,-100.1742
AKELEY,MN,47.0035,-94.6895
AKERS,LA,30.2882,-90.4014
AKIACHAK,AK,60.8785,-161.4255
AKIAK,AK,60.9146,-161.2945
AKIN,IL,37.98,-88.75
AKRON,AL,32.8553,-87.7157
AKRON,CO,40.0968,-103.1774
AKRON,IA,42.8225,-96.4636
AKRON,IN,41.0495,-86.0379
